language,term,schedule,studies,degree,ects,ects_semester,codigo,nombre,official_name,english_name,note_comment,url_guia,source_label,program_label,source_url,source_file,syllabus_links_json,availability_label,timing_risk_label,level_label,permission_label,language_label,schedule_label
Spanish,Fall,Unknown,Undergraduate,2-IMAT,6.0,6.0,DCIA-IMAT-211,Fundamentos de Inteligencia Artificial / Artificial Intelligence Fundamentals,Fundamentos de Inteligencia Artificial,Artificial Intelligence Fundamentals,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
Spanish,Fall,Unknown,Undergraduate,2-IMAT,6.0,6.0,DCIA-IMAT-212,Adquisición y Visualización de Datos / Data Acquisition and Visualization,Adquisición y Visualización de Datos,Data Acquisition and Visualization,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
Spanish,All-year,Unknown,Master,1-MIA,9.0,4.5,DCIA-MIA-501,Modelos Generativos Profundos / Deep Generative Models,Modelos Generativos Profundos,Deep Generative Models,Permission needed.,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,postgraduate,permission_required,spanish,unknown
Spanish,Fall,Unknown,Master,1-MIA,6.0,6.0,DCIA-MIA-515,Ética y Explicabilidad de la Inteligencia Artificial / Ethics and Explainable Artificial Intelligence,Ética y Explicabilidad de la Inteligencia Artificial,Ethics and Explainable Artificial Intelligence,Permission needed.,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,postgraduate,permission_required,spanish,unknown
Spanish,Fall,Unknown,Master,1-MIA,6.0,6.0,DCIA-MIA-516,Ingeniería de Modelos / Artificial Intelligence Operations,Ingeniería de Modelos,Artificial Intelligence Operations,Permission needed.,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,postgraduate,permission_required,spanish,unknown
Spanish,Fall,Unknown,Master,1-MIAA,6.0,6.0,DCIA-MUIAA-511,Agentes y Métodos de Inteligencia Artificial / Artificial Intelligence Agents and Methods,Agentes y Métodos de Inteligencia Artificial,Artificial Intelligence Agents and Methods,Permission needed.,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,postgraduate,permission_required,spanish,unknown
Spanish,Fall,Unknown,Master,1-MIAA,6.0,6.0,DCIA-MUIAA-512,Aprendizaje Automático / Machine Learning,Aprendizaje Automático,Machine Learning,Permission needed.,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,postgraduate,permission_required,spanish,unknown
Spanish,Fall,Unknown,Master,1-MIAA,3.0,3.0,DCIA-MUIAA-513,Desarrollo de Soluciones de IA / Development of AI Applications,Desarrollo de Soluciones de IA,Development of AI Applications,Permission needed.,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,postgraduate,permission_required,spanish,unknown
Spanish,Fall,Unknown,Master,1-MIAA,3.0,3.0,DCIA-MUIAA-514,Ética y Explicabilidad / Ethics and Explainability,Ética y Explicabilidad,Ethics and Explainability,Permission needed.,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,postgraduate,permission_required,spanish,unknown
Spanish,Fall,Unknown,Master,1-MIAA,6.0,6.0,DCIA-MUIAA-515,Ingeniería del Dato / Data Engineering,Ingeniería del Dato,Data Engineering,Permission needed.,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,postgraduate,permission_required,spanish,unknown
Spanish,Fall,Unknown,Master,1-MIAA,6.0,6.0,DCIA-MUIAA-516,Operación de Modelos / MLOps,Operación de Modelos,MLOps,Permission needed.,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,postgraduate,permission_required,spanish,unknown
English,Fall,Unknown,Master,1-MIINT,4.5,4.5,DCIA-MUIINT-111,Database Design,Database Design,Database Design,Permission needed.,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,postgraduate,permission_required,english,unknown
Spanish,Fall,Unknown,Undergraduate,3-GITI,6.0,6.0,DEA-GITI-313,Sistemas Dinámicos / Dynamic Systems,Sistemas Dinámicos,Dynamic Systems,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
Spanish,Fall,Unknown,Undergraduate,4-GITI,9.0,9.0,DEA-GITI-431,Microprocesadores / Microprocessors,Microprocesadores,Microprocessors,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
Spanish,Fall,Unknown,Undergraduate,4-GITI,6.0,6.0,DEA-GITI-432,Control Digital / Digital Control,Control Digital,Digital Control,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
Spanish,Fall,Unknown,Undergraduate,4-GITI,6.0,6.0,DEA-GITI-433,Circuitos Microelectrónicos I / Microelectronic Circuits I,Circuitos Microelectrónicos I,Microelectronic Circuits I,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
Spanish,Fall,Unknown,Undergraduate,4-GITI,4.5,4.5,DEA-GITI-448,Aplicaciones de Electrónica de Potencia / Power Electronics Applications,Aplicaciones de Electrónica de Potencia,Power Electronics Applications,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
Spanish,Fall,Unknown,Undergraduate,2-GITT,6.0,6.0,DEA-GITT-211,Circuitos Electrónicos / Electronic Circuits,Circuitos Electrónicos,Electronic Circuits,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
Spanish,Fall,Unknown,Undergraduate,2-GITT,6.0,6.0,DEA-GITT-213,Señales y Sistemas / Signals and Systems,Señales y Sistemas,Signals and Systems,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
Spanish,Fall,Unknown,Undergraduate,2-GITT,6.0,6.0,DEA-GITT-214,Sistemas Digitales I / Digital Systems I,Sistemas Digitales I,Digital Systems I,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
Spanish,Fall,Unknown,Undergraduate,3-GITT,7.5,7.5,DEA-GITT-311,Electrónica / Electronics,Electrónica,Electronics,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
Spanish,Fall,Unknown,Undergraduate,3-GITT,6.0,6.0,DEA-GITT-314,Radiación y Propagación / Electromagnetic Waves,Radiación y Propagación,Electromagnetic Waves,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
Spanish,Fall,Unknown,Undergraduate,3-GITT,6.0,6.0,DEA-GITT-316,Electrónica e Instrumentación Biomédica / Biomedical Electronics and Instrumentation,Electrónica e Instrumentación Biomédica,Biomedical Electronics and Instrumentation,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
Spanish,Fall,Unknown,Undergraduate,4-GITT,6.0,6.0,DEA-GITT-416,Tratamiento de Señales Biomédicas / Biomedical Signals Processing,Tratamiento de Señales Biomédicas,Biomedical Signals Processing,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
Spanish,Fall,Unknown,Undergraduate,3-IMAT,6.0,6.0,DEAC-IMAT-312,Sistemas de Control / Control Systems,Sistemas de Control,Control Systems,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
Spanish,Fall,Unknown,Undergraduate,3-IMAT,4.5,4.5,DEAC-IMAT-313,Visión por Ordenador I / Computer Vision I,Visión por Ordenador I,Computer Vision I,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
Spanish,Fall,Unknown,Undergraduate,4-IMAT,3.0,3.0,DEAC-IMAT-411,Aprendizaje por Refuerzo / Reinforcement Learning,Aprendizaje por Refuerzo,Reinforcement Learning,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
