codigo,nombre,link
10.07,Creatividad,https://drive.google.com/file/d/1l7wDGzhnh32Bfp3VJsKKLn4YTT8vR4Ge/view?usp=drivesdk
10.09,Formación para Emprendedores,https://drive.google.com/file/d/1ljCGMXPhKdUNvW3c13qxekHEuMCfvvt-/view?usp=drivesdk
11.36,Innovación y Competitividad,
12.83,Seguridad Ocupacional y Ambiental,https://drive.google.com/file/d/1Zj6A9ER3MCddvpL4HCpnDFy0dKTZkIjD/view?usp=drivesdk
16.04,Neurociencias y Desarrollo Productivo,https://drive.google.com/file/d/15Qp6n5ObHuVfg0YAvBytmFb7-xHNkMP0/view?usp=drivesdk
16.50,Introducción a la Bioinformática,
16.57,Robótica Bioinspirada,https://drive.google.com/file/d/14CO-4uw7xDJ4bWodpRCggBqKKqncknAe/view?usp=drivesdk
16.82,Neurociencia Computacional,
22.09,Fundamentos Electrónicos de la Informática,
22.48,Procesamiento de Imágenes,https://drive.google.com/file/d/1vwqgT4KBwjAWrYjnyUUJDJB1Etgu4xPD/view?usp=drivesdk
23.15,Realidad Virtual,https://drive.google.com/file/d/1qNlFfBdIkXNjBCl_xZ09H0wGGe2P4l6J/view?usp=drivesdk
25.04,Computación Cuántica,
48.02,AI: Data Management Course & Digital Transformation,
61.08,Derecho Digital,https://drive.google.com/file/d/1CORdvHoSmyqkYvh-t1Ge1tZgWm0Pq6HL/view?usp=drivesdk
61.11,Derecho Laboral y Seguridad Social en la Empresa,https://drive.google.com/file/d/1HhDHnDjSMWQXupJQnYXIBOGzzREKhUov/view?usp=drivesdk
61.13,Práctica Contractual,https://drive.google.com/file/d/15RzSetDS-BBgewDbIZd-nCH-QvJZYPUF/view?usp=drivesdk
61.50,Finanzas de la Empresa,https://drive.google.com/file/d/1605CKzF5MFkG9xzplyjRFXh0CmTP9vHC/view?usp=drivesdk
71.48,Introducción a la realidad aumentada,
72.02,Organización Básica de la Computadora,
72.18,Programación Funcional,https://drive.google.com/file/d/15fEW9YmzwE9CYT0c0qImDdpTF6nG1JHo/view?usp=drivesdk
72.20,Redes de Información,https://drive.google.com/file/d/1P6ulVm0jrk_sXgctYYQ8mBIJDUv-e-pb/view?usp=drivesdk
72.22,Sistemas Tolerantes a Fallas,
72.23,Diseño y Construcción de Compiladores,
72.25,Simulación de Sistemas,https://drive.google.com/file/d/1wglZ-MLgh6vBeYxgUzxQRjPtrt-EcwKV/view?usp=drivesdk
72.27,Sistemas de Inteligencia Artificial,https://drive.google.com/file/d/18BcFELIWa7Fce8whdPPDD3BfNW_mUSuY/view?usp=drivesdk
72.28,Topología de Internet: Análisis y Modelado,
72.29,Tipos para Lenguajes de Programación,
72.41,Base de Datos II,https://drive.google.com/file/d/1k9o0VggYhnJ-tCrKtAaW0Fn-AxO_bub_/view?usp=drivesdk
72.42,Programación de Objetos Distribuidos,https://drive.google.com/file/d/1d2yW4XtAw6cwJk-VAFwviY0exAJx4Ofx/view?usp=drivesdk
72.43,Gestión de Proyectos Informáticos,https://drive.google.com/file/d/112txdI8ZJv6lw31YjrmwRGZNmmkGs46V/view?usp=drivesdk
72.44,Criptografía y Seguridad,https://drive.google.com/file/d/1L2PccXOInK_94y2DIhOdAeISn9a4uZl6/view?usp=drivesdk
72.45,Proyecto Final (Anual),https://drive.google.com/file/d/1O-l-JdtwJmjnJPLhBW1_RffzFWRSivsp/view?usp=drivesdk
72.46,Robótica Basada en Comportamiento,
72.49,Sistemas Tolerantes a Fallas,
72.50,Introducción al Desarrollo de Videojuegos,
72.51,Tecnologías para Web 2.,
72.52,Análisis y Tratamiento de Imágenes,
72.53,Visión Computacional 3D,
72.54,OLAP y Explotación de Datos,
72.55,Ontologías en la Web,
72.56,Automatización e Integración de Sistemas de Información,
72.57,Sistemas Embebidos,
72.58,Computación Gráfica,
72.59,Sistemas de Inteligencia Artificial II,
72.60,Programación Funcional,https://drive.google.com/file/d/1YGXYzRXziQ_pywgHcuwj-gOUdI3NPV76/view?usp=drivesdk
72.61,Taller de Diseño de Videojuegos,
72.64,Cloud Computing,
72.65,Desarrollo de Videojuegos 2D en iPhone OS,
