codigo,nombre,link,contenidos_minimos,objetivos_aprendizaje,contenidos_titulo,contenidos_descripcion,actividades_descripcion
11.36,Innovación y Competitividad,,,,,,
16.50,Introducción a la Bioinformática,,,,,,
16.82,Neurociencia Computacional,,,,,,
22.09,Fundamentos Electrónicos de la Informática,,,,,,
25.04,Computación Cuántica,,,,,,
48.02,AI: Data Management Course & Digital Transformation,,,,,,
71.48,Introducción a la realidad aumentada,,,,,,
72.02,Organización Básica de la Computadora,,,,,,
72.22,Sistemas Tolerantes a Fallas,,,,,,
72.23,Diseño y Construcción de Compiladores,,,,,,
72.28,Topología de Internet: Análisis y Modelado,,,,,,
72.29,Tipos para Lenguajes de Programación,,,,,,
72.46,Robótica Basada en Comportamiento,,,,,,
72.49,Sistemas Tolerantes a Fallas,,,,,,
72.50,Introducción al Desarrollo de Videojuegos,,,,,,
72.51,Tecnologías para Web 2.,,,,,,
72.52,Análisis y Tratamiento de Imágenes,,,,,,
72.53,Visión Computacional 3D,,,,,,
72.54,OLAP y Explotación de Datos,,,,,,
72.55,Ontologías en la Web,,,,,,
72.56,Automatización e Integración de Sistemas de Información,,,,,,
72.57,Sistemas Embebidos,,,,,,
72.58,Computación Gráfica,,,,,,
72.59,Sistemas de Inteligencia Artificial II,,,,,,
72.61,Taller de Diseño de Videojuegos,,,,,,
72.64,Cloud Computing,,,,,,
72.65,Desarrollo de Videojuegos 2D en iPhone OS,,,,,,
72.66,Sistemas Embebidos,,,,,,
72.67,Robótica Cinemática Computacional,,,,,,
72.68,Arte y Ciencia Interactivos,,,,,,
72.69,Seguridad de Software basada en Flujo de Información,,,,,,
72.70,Modelos e Imágenes Fractales,,,,,,
72.71,Integración de Sistemas de Información,,,,,,
72.72,Análisis y Verificación de Modelos y Códigos,,,,,,
72.73,Aprendizaje por Refuerzo en Robótica,,,,,,
72.77,Técnicas Automáticas para Testing de Software,,,,,,
72.78,OLAP Espacial,,,,,,
72.81,Simulación y Animación de Sistemas Multipartículas,,,,,,
72.82,Tópicos de NOSQL,,,,,,
72.83,Técnicas Avanzadas de HCI con Uso de Rastreadores de Ojos y Manos,,,,,,
72.84,Base de Datos Espaciales y Sistemas de Información Geográfica,,,,,,
72.85,Análisis de Datos en la Web Semántica,,,,,,
72.86,Técnicas Avanzadas en Videojuegos,,,,,,
72.88,Introducción a la Neurociencia Computacional,,,,,,
72.89,Moneda Digital Descentralizada,,,,,,
72.94,Introducción a los Sistemas Embebidos,,,,,,
72.95,Proyecto de Innovación Científico-Tecnológico,,,,,,
72.96,Proyecto de Aplicaciones Móviles,,,,,,
72.98,Práctica Laboral,,,,,,
73.21,Desarrollo de Aplicaciones Móviles Multiplataforma,,,,,,
73.23,Programación Orientada a Datos,,,,,,
73.30,Desarrollo profesional de software: del código al producto,,,,,,
73.50,"Infraestructura de Cómputo: Data Center, Cloud y Edge",,,,,,
73.60,Introducción a la Robótica Empresarial,,,,,,
73.61,Neurorobótica,,,,,,
73.62,Introducción a la Programación Paralela,,,,,,
73.63,Redes Equivariantes,,,,,,
73.64,Temas Avanzados en Deep Learning,,,,,,
73.65,Procesamiento del Lenguaje Natural,,,,,,
73.66,Procesamiento de Imágenes Satelitales,,,,,,
73.67,Análisis de series de tiempo con Inteligencia Artificial,,,,,,
73.80,SEGURIDAD OFENSIVA,,,,,,
73.81,Ciberseguridad Ofensiva y Defensiva,,,,,,
73.98,Desarrollo Integral de Videojuegos,,,,,,
81.94,Experiencia Inmersiva de Innovación Tecnológica,,,,,,
94.26,Comunicación Organizacional,,,,,,
94.92,Escritura Académica,,,,,,
