codigo_icai_1,nombre_icai_1,term_1,studies_1,ects_icai_1,confianza_individual_1,codigo_icai_2,nombre_icai_2,term_2,studies_2,ects_icai_2,confianza_individual_2,ects_total,codigo_itba,nombre_itba,confianza_combinada,comentario_combinacion,complementa_por,gaps_restantes,availability_pair_label,permission_pair_label,source_labels,url_guia_icai_1,url_guia_icai_2
DEA-GITT-211,Circuitos Electrónicos / Electronic Circuits,Fall,Undergraduate,6.0,3,DEA-GITT-214,Sistemas Digitales I / Digital Systems I,Fall,Undergraduate,6.0,3,12.0,22.09,Fundamentos Electrónicos de la Informática,4,"Circuitos Electrónicos aporta los fundamentos de electrónica y circuitos, mientras que Sistemas Digitales I añade lógica y sistemas digitales aplicados a informática; juntas cubren las dos bases complementarias de la materia fundacional.",DEA-GITT-211 cubre circuitos y electrónica; DEA-GITT-214 aporta lógica digital y organización de sistemas digitales.,Falta confirmar el alcance de arquitectura de computadores y de electrónica analógica en las guías docentes.,exchange_term,standard,course_offering_2026_2027_v1_1,,
DCIA-MUIAA-515,Ingeniería del Dato / Data Engineering,Fall,Master,6.0,3,DTC-IMAT-423,Tecnologías para la Digitalización / Technologies for Digital Transformation,Fall,Undergraduate,6.0,3,12.0,48.02,AI: Data Management Course & Digital Transformation,4,Ingeniería del Dato cubre gestión e infraestructura de datos para IA y Tecnologías para la Digitalización aporta el bloque organizacional de transformación digital; son los dos ejes explícitos de la materia ITBA.,"DCIA-MUIAA-515 aporta arquitectura, gestión y pipelines de datos; DTC-IMAT-423 aporta tecnologías y procesos de digitalización.",Falta verificar el grado de integración explícita entre IA y cambio organizacional.,exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DOI-MBA-612,Financiación e Inversiones en Industria y Tecnología / Finance and Investment in Industry and Technology,Fall,Master,3.0,3,DOI-MTF-513,Gestión de Carteras e Inversión Basada en Datos / Portfolio Management and Data-Driven Investing,Fall,Master,4.5,3,7.5,61.50,Finanzas de la Empresa,4,"Financiación e Inversiones cubre decisiones de financiación e inversión corporativa, y Gestión de Carteras añade riesgo, selección de cartera y valuación de activos; juntas cubren bloques corporativos y de mercados de Finanzas de la Empresa.","DOI-MBA-612 aporta financiación y decisiones empresariales; DOI-MTF-513 incorpora carteras, riesgo y análisis de inversiones.","Falta confirmar cobertura de fusiones y adquisiciones, política de dividendos y opciones reales.",exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DOI-MBA-612,Financiación e Inversiones en Industria y Tecnología / Finance and Investment in Industry and Technology,Fall,Master,3.0,3,FCEE-BA-515,Derivados Financieros / Financial Derivatives,Fall,Undergraduate,3.0,2,6.0,61.50,Finanzas de la Empresa,4,"Financiación e Inversiones cubre la gestión financiera y las decisiones corporativas, mientras que Derivados Financieros completa un bloque explícito y técnico del programa ITBA.","DOI-MBA-612 aporta financiación, inversión y decisiones empresariales; FCEE-BA-515 aporta instrumentos derivados y cobertura.","Falta confirmar la profundidad en valuación de empresas, dividendos y fusiones y adquisiciones.",exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DOI-MBA-612,Financiación e Inversiones en Industria y Tecnología / Finance and Investment in Industry and Technology,Fall,Master,3.0,3,FCEE-BA23-414,Matermáticas Financieras / Financial Mathematics,Fall,Undergraduate,3.0,2,6.0,61.50,Finanzas de la Empresa,4,"Financiación e Inversiones aporta gestión financiera corporativa y Matemáticas Financieras agrega las herramientas de flujos y valuación necesarias para obligaciones, acciones y proyectos.",DOI-MBA-612 cubre decisiones de financiación e inversión; FCEE-BA23-414 aporta cálculo financiero y valuación de flujos y activos.,"Falta confirmar derivados, selección de cartera y fusiones y adquisiciones.",exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DTC-IMAT-215,Fundamentos de los Sistemas Operativos / Operating Systems Fundamentals,Fall,Undergraduate,6.0,2,DTC-MBD-515,Tecnologías de Procesamiento Big Data / Big Data Processing Technologies,Fall,Master,7.5,3,13.5,72.42,Programación de Objetos Distribuidos,4,"Fundamentos de Sistemas Operativos aporta procesos, concurrencia y sincronización; Tecnologías de Procesamiento Big Data añade almacenamiento y procesamiento distribuido a escala. Juntas cubren dos bloques distintos y centrales de sistemas distribuidos.","DTC-IMAT-215 aporta threads, procesos y sincronización; DTC-MBD-515 aporta procesamiento distribuido, almacenamiento y patrones tipo MapReduce.","Falta confirmar RPC, middleware, consistencia, tolerancia a fallas y programación distribuida en Java.",exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DCIA-MUIAA-511,Agentes y Métodos de Inteligencia Artificial / Artificial Intelligence Agents and Methods,Fall,Master,6.0,2,DIM-MII-516,Robotica Industrial / Industrial Robotics,Fall,Master,4.5,3,10.5,72.46,Robótica Basada en Comportamiento,4,"Agentes y Métodos de IA aporta la capa de agentes autónomos y métodos de decisión, mientras que Robótica Industrial aporta el diseño e implementación del sistema robótico; la combinación es complementaria para una materia de robótica basada en comportamiento.","DCIA-MUIAA-511 aporta agentes y métodos de IA; DIM-MII-516 aporta sensores, actuadores y realización robótica.",Falta confirmar arquitecturas reactivas o deliberativas de comportamiento y su implementación integrada.,exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DEAC-IMAT-313,Visión por Ordenador I / Computer Vision I,Fall,Undergraduate,4.5,3,DMA-IMAT-311,Geometría Computacional / Computational Geometry,Fall,Undergraduate,4.5,2,9.0,72.53,Visión Computacional 3D,4,"Visión por Ordenador I aporta procesamiento y representación visual, y Geometría Computacional añade el bloque geométrico necesario para reconstrucción y razonamiento tridimensional.",DEAC-IMAT-313 cubre fundamentos de visión; DMA-IMAT-311 aporta geometría y algoritmos espaciales para el componente 3D.,"Falta confirmar reconstrucción 3D, calibración de cámaras y estimación de profundidad.",exchange_term,standard,course_offering_2026_2027_v1_1,,
DEAC-MII-513,Sistemas Electrónicos / Electronic Systems,Fall,Master,7.5,3,DEAC-MUIINT-112,Internet of Things,Fall,Master,4.5,3,12.0,72.57,Sistemas Embebidos,4,"Sistemas Electrónicos cubre integración de hardware y Internet of Things añade dispositivos conectados, comunicaciones y aplicación de sistemas embebidos; cada una cubre una capa distinta del sistema.",DEAC-MII-513 aporta hardware y electrónica de integración; DEAC-MUIINT-112 aporta conectividad y uso de dispositivos embebidos en IoT.,Falta confirmar programación de firmware y restricciones de tiempo real.,exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DCIA-IMAT-211,Fundamentos de Inteligencia Artificial / Artificial Intelligence Fundamentals,Fall,Undergraduate,6.0,3,DCIA-MIA-501,Modelos Generativos Profundos / Deep Generative Models,All-year,Master,9.0,3,15.0,72.59,Sistemas de Inteligencia Artificial II,4,"Fundamentos de Inteligencia Artificial proporciona el marco general de técnicas de IA y Modelos Generativos Profundos añade un bloque avanzado de redes profundas; la segunda materia aporta profundidad nueva, no repetición.",DCIA-IMAT-211 aporta fundamentos y métodos generales de IA; DCIA-MIA-501 aporta modelos generativos y deep learning avanzado.,Falta confirmar los contenidos específicos exigidos por Sistemas de IA II.,mixed_or_risky,permission_required,course_offering_2026_2027_v1_1,,
DCIA-IMAT-211,Fundamentos de Inteligencia Artificial / Artificial Intelligence Fundamentals,Fall,Undergraduate,6.0,3,DEAC-IMAT-411,Aprendizaje por Refuerzo / Reinforcement Learning,Fall,Undergraduate,3.0,3,9.0,72.59,Sistemas de Inteligencia Artificial II,4,Fundamentos de Inteligencia Artificial establece métodos generales y Aprendizaje por Refuerzo incorpora una técnica avanzada de decisión secuencial; juntas cubren base y profundización en bloques distintos.,DCIA-IMAT-211 aporta fundamentos de IA; DEAC-IMAT-411 aporta aprendizaje por refuerzo y control adaptativo.,Falta confirmar el temario concreto de Sistemas de IA II y la cobertura de otras técnicas avanzadas.,exchange_term,standard,course_offering_2026_2027_v1_1,,
DCIA-IMAT-211,Fundamentos de Inteligencia Artificial / Artificial Intelligence Fundamentals,Fall,Undergraduate,6.0,3,DTC-IMAT-416,Procesamiento de Lenguaje Natural II / Natural Language Processing II,Fall,Undergraduate,6.0,3,12.0,72.59,Sistemas de Inteligencia Artificial II,4,Fundamentos de Inteligencia Artificial cubre el marco general y Procesamiento de Lenguaje Natural II añade una especialidad avanzada de IA con técnicas y datos de lenguaje.,DCIA-IMAT-211 aporta bases de IA; DTC-IMAT-416 aporta procesamiento de lenguaje natural avanzado.,Falta confirmar el temario concreto de Sistemas de IA II y la cobertura de aprendizaje profundo general.,exchange_term,standard,course_offering_2026_2027_v1_1,,
DCIA-IMAT-211,Fundamentos de Inteligencia Artificial / Artificial Intelligence Fundamentals,Fall,Undergraduate,6.0,3,DTC-IMAT-417,Visión por Ordenador II / Computer Vision II,Fall,Undergraduate,6.0,3,12.0,72.59,Sistemas de Inteligencia Artificial II,4,Fundamentos de Inteligencia Artificial aporta base metodológica y Visión por Ordenador II añade una aplicación avanzada y específica de IA; las coberturas son complementarias.,DCIA-IMAT-211 aporta métodos generales; DTC-IMAT-417 aporta visión artificial avanzada.,Falta confirmar el temario concreto de Sistemas de IA II y la cobertura de otras áreas avanzadas.,exchange_term,standard,course_offering_2026_2027_v1_1,,
DCIA-IMAT-211,Fundamentos de Inteligencia Artificial / Artificial Intelligence Fundamentals,Fall,Undergraduate,6.0,3,DTC-MIINT-512,Deep Learning,Fall,Master,6.0,3,12.0,72.59,Sistemas de Inteligencia Artificial II,4,Fundamentos de Inteligencia Artificial cubre técnicas generales y Deep Learning agrega el bloque de redes profundas; la combinación une fundamento amplio y profundización moderna.,DCIA-IMAT-211 aporta fundamentos de IA; DTC-MIINT-512 aporta deep learning.,Falta confirmar el temario concreto de Sistemas de IA II y la amplitud de métodos no neuronales avanzados.,exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DEAC-MII-513,Sistemas Electrónicos / Electronic Systems,Fall,Master,7.5,3,DEAC-MUIINT-112,Internet of Things,Fall,Master,4.5,3,12.0,72.66,Sistemas Embebidos,4,Sistemas Electrónicos cubre integración de hardware e Internet of Things añade conectividad y aplicaciones con dispositivos embebidos; las materias cubren capas complementarias del sistema.,DEAC-MII-513 aporta hardware y electrónica; DEAC-MUIINT-112 aporta conectividad y uso de dispositivos IoT.,"Falta confirmar programación embebida, firmware y tiempo real.",exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DCIA-MUIAA-515,Ingeniería del Dato / Data Engineering,Fall,Master,6.0,2,DTC-MIT-515,Arquitectura de Servicios en Red / Architecture of Network Services,Fall,Master,6.0,3,12.0,72.71,Integración de Sistemas de Información,4,"Ingeniería del Dato aporta integración de datos y pipelines, mientras que Arquitectura de Servicios en Red aporta integración entre servicios y arquitectura cliente-servidor; cubren facetas distintas de integración de sistemas de información.","DCIA-MUIAA-515 aporta integración y gestión de datos; DTC-MIT-515 aporta servicios, interfaces y arquitectura de red.","Falta confirmar middleware, patrones de integración empresarial y gobierno transversal de APIs.",exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DEA-GITI-431,Microprocesadores / Microprocessors,Fall,Undergraduate,9.0,3,DEAC-MII-631,Comunicaciones Industriales / Industrial Communication Systems,Fall,Master,4.5,3,13.5,72.90,Internet de las Cosas (IoT),4,Microprocesadores aporta la plataforma de cómputo y control de bajo nivel; Comunicaciones Industriales añade la conectividad de dispositivos. Juntas cubren las capas de dispositivo y comunicación de IoT.,DEA-GITI-431 aporta microprocesadores y hardware programable; DEAC-MII-631 aporta comunicaciones industriales y conectividad de sistemas.,"Falta confirmar programación de microcontroladores, sensores, MQTT e IPv6.",exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DEA-GITT-214,Sistemas Digitales I / Digital Systems I,Fall,Undergraduate,6.0,3,DEAC-MUIINT-112,Internet of Things,Fall,Master,4.5,2,10.5,72.94,Introducción a los Sistemas Embebidos,4,Sistemas Digitales I aporta fundamentos de hardware digital y Internet of Things añade el uso de dispositivos conectados; combinan base electrónica con una aplicación embebida concreta.,DEA-GITT-214 aporta lógica y sistemas digitales; DEAC-MUIINT-112 aporta dispositivos conectados y contexto IoT.,Falta confirmar programación de microcontroladores y herramientas de desarrollo embebido.,exchange_term,permission_required,course_offering_2026_2027_v1_1,,
DCIA-MUIAA-516,Operación de Modelos / MLOps,Fall,Master,6.0,3,DTC-GITT-315,Ingeniería del Software / Software Engineering,Fall,Undergraduate,6.0,2,12.0,73.22,Fundamentos de DevOps,4,"Operación de Modelos aporta automatización, despliegue y operación continua, e Ingeniería del Software aporta procesos y prácticas de desarrollo; la combinación cubre la unión desarrollo-operaciones propia de DevOps.",DCIA-MUIAA-516 aporta despliegue y operación automatizada; DTC-GITT-315 aporta ciclo de desarrollo y prácticas de ingeniería.,"Falta confirmar Git, infraestructura como código, contenedores, CI/CD general y DevSecOps.",exchange_term,permission_required,course_offering_2026_2027_v1_1,,
