codigo_icai,nombre_icai,term,studies,degree,schedule,language,ects_icai,codigo_itba,nombre_itba,confianza,comentario,availability_label,timing_risk_label,level_label,permission_label,language_label,schedule_label,recommendation_bucket,source_label,program_label,source_url,url_guia_icai
DCIA-IMAT-211,Fundamentos de Inteligencia Artificial / Artificial Intelligence Fundamentals,Fall,Undergraduate,2-IMAT,Unknown,Spanish,6.0,72.27,Sistemas de Inteligencia Artificial,5,"Fundamentos de Inteligencia Artificial es la equivalencia más directa para los enfoques y técnicas centrales de IA; confirmar la cobertura de sistemas expertos, lógica y algoritmos genéticos.",exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DCIA-IMAT-212,Adquisición y Visualización de Datos / Data Acquisition and Visualization,Fall,Undergraduate,2-IMAT,Unknown,Spanish,6.0,72.74,Visualización de Información,5,Adquisición y Visualización de Datos coincide directamente con visualización de información; no se detallan interacción ni principios de diseño.,exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DTC-BA23-314,Visualización de Datos / Data Visualization,Fall,Undergraduate,3-BA,Unknown,Spanish,3.0,72.74,Visualización de Información,5,"Visualización de Datos es una equivalencia directa por tema, aunque no se confirma el detalle de visualización interactiva y percepción.",exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DTC-GITT-313,Tecnología de Redes / Computer Network Technologies,Fall,Undergraduate,3-GITT,Unknown,Spanish,6.0,72.20,Redes de Información,5,"Tecnología de Redes cubre directamente el núcleo de redes y protocolos de la materia ITBA; falta confirmar el detalle de seguridad, movilidad y ATM.",exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DTC-IMAT-416,Procesamiento de Lenguaje Natural II / Natural Language Processing II,Fall,Undergraduate,4-IMAT,Unknown,Spanish,6.0,73.65,Procesamiento del Lenguaje Natural,5,Procesamiento de Lenguaje Natural II coincide directamente con Procesamiento del Lenguaje Natural y es el candidato más fuerte del catálogo.,exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
FCEE-BA-421,Finanzas Corporativas / Corporate Finance,Fall,Undergraduate,5-BA,Unknown,English,6.0,61.50,Finanzas de la Empresa,5,"Finanzas Corporativas coincide directamente con valuacion, decisiones de financiacion, estructura de capital y gestion financiera de la empresa.",exchange_term,low,undergraduate,standard,english,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DCIA-IMAT-212,Adquisición y Visualización de Datos / Data Acquisition and Visualization,Fall,Undergraduate,2-IMAT,Unknown,Spanish,6.0,73.84,Ciencia de Datos Aplicada,4,"Adquisición y Visualización de Datos coincide con captura, análisis exploratorio y visualización de datos; candidato fuerte de grado.",exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DEA-GITI-431,Microprocesadores / Microprocessors,Fall,Undergraduate,4-GITI,Unknown,Spanish,9.0,72.02,Organización Básica de la Computadora,4,Microprocesadores se alinea fuertemente con organizacion y funcionamiento basico de la computadora a nivel de procesador y hardware; confirmar arquitectura y lenguaje ensamblador.,exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DEA-GITI-431,Microprocesadores / Microprocessors,Fall,Undergraduate,4-GITI,Unknown,Spanish,9.0,72.57,Sistemas Embebidos,4,Microprocesadores cubre el núcleo de hardware programable de sistemas embebidos; no se confirma firmware ni tiempo real.,exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DEA-GITI-431,Microprocesadores / Microprocessors,Fall,Undergraduate,4-GITI,Unknown,Spanish,9.0,72.66,Sistemas Embebidos,4,Microprocesadores cubre el núcleo de hardware programable de sistemas embebidos; no se confirma firmware ni tiempo real.,exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DEA-GITI-431,Microprocesadores / Microprocessors,Fall,Undergraduate,4-GITI,Unknown,Spanish,9.0,72.94,Introducción a los Sistemas Embebidos,4,"Microprocesadores cubre hardware programable y programación de bajo nivel, una base sólida para introducción a sistemas embebidos.",exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DEAC-IMAT-313,Visión por Ordenador I / Computer Vision I,Fall,Undergraduate,3-IMAT,Unknown,Spanish,4.5,22.48,Procesamiento de Imágenes,4,"Vision por Ordenador I se alinea fuertemente con analisis de imagenes y vision por computadora, componentes centrales de Procesamiento de Imagenes.",exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DEAC-IMAT-313,Visión por Ordenador I / Computer Vision I,Fall,Undergraduate,3-IMAT,Unknown,Spanish,4.5,72.52,Análisis y Tratamiento de Imágenes,4,Visión por Ordenador I es candidata directa para análisis y tratamiento de imágenes; falta confirmar el alcance de procesamiento clásico frente a visión basada en aprendizaje.,exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DEAC-IMAT-411,Aprendizaje por Refuerzo / Reinforcement Learning,Fall,Undergraduate,4-IMAT,Unknown,Spanish,3.0,72.73,Aprendizaje por Refuerzo en Robótica,4,Aprendizaje por Refuerzo coincide directamente con el método central; falta confirmar aplicación a robótica.,exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DOI-DHPCP-202,Técnicas de Comunicación Personal / Personal Communication Techniques,Fall,Undergraduate,2-DHP,Unknown,Spanish,3.0,94.42,Comunicación Estratégica,4,"Técnicas de Comunicación Personal coincide con competencias conversacionales, comunicación interpersonal y desempeño profesional; faltaría confirmar la profundidad de comunicación estratégica e intracomunicación. Es grado y figura con asignación pendiente.",exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DOI-DHPCP-202,Técnicas de Comunicación Personal / Personal Communication Techniques,Fall,Undergraduate,2-DHP,Unknown,Spanish,3.0,94.64,Prácticas Expositivas,4,"Técnicas de Comunicación Personal se alinea con el desarrollo de habilidades comunicacionales y de presentación de Prácticas Expositivas, aunque se debe confirmar técnicas escénicas y trabajo con auditorios. Es grado y figura con asignación pendiente.",exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DOI-IMAT-311,Análisis y Predicción de Series Temporales / Time Series Analysis and Forecasting,Fall,Undergraduate,3-IMAT,Unknown,Spanish,3.0,73.67,Análisis de series de tiempo con Inteligencia Artificial,4,Análisis y Predicción de Series Temporales coincide directamente con la parte de series temporales; no se confirma el uso de IA en el título.,exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DOI-IMAT-314,Optimización y Simulación / Optimization and Simulation,Fall,Undergraduate,3-IMAT,Unknown,English,6.0,72.25,Simulación de Sistemas,4,"Optimización y Simulación es el candidato directo para modelado y simulación de sistemas; falta confirmar el peso de simulación discreta, probabilística y análisis estadístico de resultados.",exchange_term,low,undergraduate,standard,english,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DTC-BA-516,Desarrollo de Aplicaciones para la Visualización de Datos / Application Development for Data Visualization,Fall,Undergraduate,6-BA,Unknown,Spanish,3.0,72.74,Visualización de Información,4,"Desarrollo de Aplicaciones para la Visualización de Datos coincide en implementar visualizaciones, con orientación más aplicada.",exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DTC-GITT-411,Conmutación y Transmisión / Switching and Data Transmission,Fall,Undergraduate,4-GITT,Unknown,Spanish,4.5,72.20,Redes de Información,4,"Conmutación y transmisión solapa con tecnologías LAN/WAN, interconexión y transporte de datos, aunque no evidencia por sí sola toda la capa TCP/IP y de seguridad solicitada por ITBA.",exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DTC-IMAT-315,Paradigmas y Técnicas de Programación / Programming Paradigms and Techniques,Fall,Undergraduate,3-IMAT,Unknown,Spanish,6.0,72.18,Programación Funcional,4,"Paradigmas y Tecnicas de Programacion es una candidata fuerte para Programacion Funcional por su cobertura explicita de paradigmas; confirmar lambda calculo, tipos algebraicos, monadas y demostracion por induccion.",exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DTC-IMAT-315,Paradigmas y Técnicas de Programación / Programming Paradigms and Techniques,Fall,Undergraduate,3-IMAT,Unknown,Spanish,6.0,72.60,Programación Funcional,4,"Paradigmas y Técnicas de Programación es la candidata más directa para programación funcional, sin confirmar cálculo lambda ni semántica formal.",exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DTC-IMAT-416,Procesamiento de Lenguaje Natural II / Natural Language Processing II,Fall,Undergraduate,4-IMAT,Unknown,Spanish,6.0,82.18,Procesamiento del Lenguaje Natural,4,"Procesamiento de Lenguaje Natural II coincide directamente con NLP, preparación y análisis de texto, modelos de lenguaje y aplicaciones; se debe confirmar el alcance de nivel II frente a los fundamentos ITBA.",exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DTC-IMAT-417,Visión por Ordenador II / Computer Vision II,Fall,Undergraduate,4-IMAT,Unknown,Spanish,6.0,22.48,Procesamiento de Imágenes,4,"Vision por Ordenador II es una candidata fuerte para la parte de analisis de imagenes y vision por computadora; confirmar en la guia la cobertura de transformadas, restauracion y compresion.",exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DTC-IMAT-417,Visión por Ordenador II / Computer Vision II,Fall,Undergraduate,4-IMAT,Unknown,Spanish,6.0,72.52,Análisis y Tratamiento de Imágenes,4,Visión por Ordenador II es una candidata directa y de nivel avanzado para análisis de imágenes; se debe validar el temario concreto.,exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DTC-IMAT-417,Visión por Ordenador II / Computer Vision II,Fall,Undergraduate,4-IMAT,Unknown,Spanish,6.0,73.66,Procesamiento de Imágenes Satelitales,4,"Visión por Ordenador II es un candidato fuerte para procesamiento de imágenes satelitales por las técnicas de visión, aunque no incluye teledetección ni datos satelitales explícitamente.",exchange_term,low,undergraduate,standard,spanish,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
DTC-SAP-333,Machine Learning and Artificial Intelligence with Python,Fall,Undergraduate,1-SAPIENS,Unknown,English,6.0,72.27,Sistemas de Inteligencia Artificial,4,"Machine Learning and Artificial Intelligence with Python cubre fundamentos prácticos de IA, ML, NLP y visión por ordenador; queda más introductoria y sin evidencia del enfoque lógico/simbólico.",exchange_term,low,undergraduate,standard,english,unknown,primary,course_offering_2026_2027_v1_1,sapiens,,
DTC-SAP-333,Machine Learning and Artificial Intelligence with Python,Fall,Undergraduate,1-SAPIENS,Unknown,English,6.0,72.75,Aprendizaje Automático (Machine Learning),4,"Machine Learning and Artificial Intelligence with Python coincide directamente, con orientación práctica en Python.",exchange_term,low,undergraduate,standard,english,unknown,primary,course_offering_2026_2027_v1_1,sapiens,,
FCEE-BA23-412,Finanzas Corporativas Aplicadas / Applied Corporate Finance,Fall,Undergraduate,4-BA,Unknown,English,3.0,61.50,Finanzas de la Empresa,4,"Finanzas Corporativas Aplicadas cubre decisiones y herramientas de finanzas corporativas, fuertemente alineadas con valuacion, financiacion y estructura de capital.",exchange_term,low,undergraduate,standard,english,unknown,primary,course_offering_2026_2027_v1_1,regular_icai,,
IIM-ADE-226,Idioma II (English for Business Studies II) B2 / English for Business Studies II (B2),All-year,Undergraduate,2-ADE,Unknown,English,3.0,94.52,Inglés II,4,"English for Business Studies II (B2) coincide con el nivel B2 y las competencias comunicativas de Inglés II; su orientación es de negocios en vez de ingeniería. Es All-year: 3 ECTS semestrales, y requiere prueba/asignación de nivel.",exchange_term_all_year,medium,undergraduate,standard,english,unknown,strong_candidate,course_offering_2026_2027_v1_1,regular_icai,,
