codigo_itba,nombre_itba,contenidos_minimos,comentario
10.07,Creatividad,"Que se entiende por creatividad. Características de una personalidad creativa. Elementos de la creatividad: persona, propósito, ambiente, proceso y técnicas. Modelo de aprendizaje y de memoria. CV de la persona creativa. Tipos de pensamiento. Modelo de comportamiento de la persona. Ejercicio de modelos de comportamiento. Test de creatividad. Límites de la creatividad relacionados al entorno.",Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
16.04,Neurociencias y Desarrollo Productivo,"Introducción a la neurociencia cognitiva. Neuroanatomía funcional. Aprendizaje, recompensa y motivación. Procesos mnésicos. Sueño. Sueño y memoria. Atención. Ceguera atencional. Toma de decisiones. Resolución de problemas, pensamiento creativo y sueño. Emoción. Estrés como modulador de procesos cognitivos. Burned out. Sueño y rendimiento laboral. Recompensa y motivación. Mindfulness y cambios neurofisiológicos.",Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
16.50,Introducción a la Bioinformática,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
16.82,Neurociencia Computacional,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
25.04,Computación Cuántica,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
71.48,Introducción a la realidad aumentada,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.22,Sistemas Tolerantes a Fallas,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.23,Diseño y Construcción de Compiladores,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.45,Proyecto Final (Anual),Objetivos del proyecto final como proyecto profesional integrador de los contenidos y competencias adquiridos durante la carrera. Definición de metodología a utilizar. Fases y documentación. Oportunidades e impacto del proyecto,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.49,Sistemas Tolerantes a Fallas,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.50,Introducción al Desarrollo de Videojuegos,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.51,Tecnologías para Web 2.,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.55,Ontologías en la Web,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.58,Computación Gráfica,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.61,Taller de Diseño de Videojuegos,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.65,Desarrollo de Videojuegos 2D en iPhone OS,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.68,Arte y Ciencia Interactivos,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.70,Modelos e Imágenes Fractales,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.83,Técnicas Avanzadas de HCI con Uso de Rastreadores de Ojos y Manos,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.84,Base de Datos Espaciales y Sistemas de Información Geográfica,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.85,Análisis de Datos en la Web Semántica,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.86,Técnicas Avanzadas en Videojuegos,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.87,Diseño Sonoro para Animación y Videojuegos,"Parámetros básicos de la imagen y del sonido. Sistema visual, fonal y auditivo. Audiovisión. Diseño audiovisual. Proceso de producción audiovisual. Banda sonora.",Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.95,Proyecto de Innovación Científico-Tecnológico,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.96,Proyecto de Aplicaciones Móviles,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.97,Introducción a la Programación de Videojuegos,"Introducción al diseño de videojuegos. Programación de videojuegos: Motores, Patrones de diseño específicos (strategy, facade, managers, command, observer). Entorno de desarrollo: programación de juegos 3D, sistema de componentes, assets, sonidos, objetos 3D.",Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
72.98,Práctica Laboral,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
73.21,Desarrollo de Aplicaciones Móviles Multiplataforma,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
73.62,Introducción a la Programación Paralela,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
73.98,Desarrollo Integral de Videojuegos,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
94.26,Comunicación Organizacional,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
94.65,Practica Profesional supervisada,Aplicación e integración de conocimientos y competencias adquiridas a lo largo de la formación del estudiante. Desarrollo de nuevos aprendizajes desde el enfoque de la práctica en un entorno profesional.,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
94.92,Escritura Académica,,Sin candidato ICAI con suficiente solapamiento tematico en el universo analizado.
